problem,label
xe chuyển động thẳng không chiều có tốc độ trung bình là 20 kmh trên 14 đoạn đường đầu 40 kmh trên đoạn đường còn lại vận tốc trung bình của xe trên cả đoạn đường a là 30kmh b 32kmh c 128kmh d 40kmh,chuyển động thẳng đều
xe chuyển động thẳng không đổi chiều có tốc độ trung là 20 trên 14 đoạn đường 40 kmh 34 đường còn lại vận tốc trung bình của xe trên cả đoạn đoạn là a 30kmh b 32kmh c 128kmh d 40kmh,chuyển động thẳng đều
người đi xe đạp trên  đoạn thẳng AB trên 13 đoạn đường đầu đi với vận tốc v1=20 kmh 13 đoạn giữa đi với vận tốc v2=15 kmh  đoạn cuối với vận tốc v3=10 kmh tốc độ trung bình của xe đạp trên cả đoạn đường AB gần giá trị nào sau đây nhất a 18 kmh b 9 kmh c 15 kmh d 14 kmh,chuyển động thẳng đều
người đi đạp trên đoạn thẳng AB 13 đường đầu đi với vận tốc v1=20 13 giữa đi với vận tốc kmh đoạn cuối với vận tốc đây kmh tốc độ trung bình của xe đạp trên đoạn đường AB gần trị nào v3=10 nhất a 18 kmh b 9 kmh c 15 d 14 kmh,chuyển động thẳng đều
người xe đạp trên thẳng AB trên 13 đoạn đường đầu đi với vận v1=20 13 đoạn giữa đi với vận tốc v2=15 độ đoạn cuối với vận tốc v3=10 kmh tốc kmh trung bình của xe đạp trên cả đoạn đường AB gần giá trị nào sau nhất a 18 kmh b 9 kmh c 15 kmh d 14,chuyển động thẳng đều
ô tô chạy trên  đoạn đường thẳng từ địa điểm A đến địa điểm B phải mất  khoảng thời gian t tốc độ của ô tô trong  phần ba của khoảng thời gian này là 30 kmh trong  phần ba tiếp theo của khoảng thời gian này là 60 kmh tốc độ trung bình trong cả quá trình đi từ A đến B là 50 kmh tốc độ của ô tô trong  phần ba còn lại của khoảng thời gian t là a 43 kmh b 100 kmh c 60 kmh d 47 kmh,chuyển động thẳng đều
ô tô chạy trên đoạn thẳng từ điểm A đến địa điểm B phải mất khoảng thời t tốc độ của ô tô trong phần ba của khoảng thời này là 30 kmh trong phần ba tiếp theo của khoảng thời gian này là 60 tốc độ trung bình trong cả quá trình đi từ A đến B là 50 kmh tốc độ của ô tô trong phần ba kmh lại của khoảng thời gian t là a 43 kmh b 100 kmh c 60 còn d 47 kmh,chuyển động thẳng đều
ô tô chạy trên đoạn đường thẳng từ địa điểm A đến địa B trình mất khoảng thời gian t tốc độ của ô tô trong phần ba của khoảng thời này là 30 kmh trong ba tiếp theo của khoảng thời này kmh tốc độ trung bình trong cả quá phải đi từ A đến B 50 kmh tốc độ của ô trong phần ba lại của khoảng thời gian t là a 43 kmh b 100 kmh 60 kmh d 47 kmh,chuyển động thẳng đều
trong các phương trình chuyển động thẳng đều sau đây phương trình nào biểu diễn chuyển động không xuất phát từ gốc tọa độ  ban đầu hướng về gốc tọa độ a x = 15 + 40t km h b x = 80 30t km h c x = 60t km h d x = 60 20t km h,chuyển động thẳng đều
trong các phương trình chuyển động thẳng đều sau đây phương trình nào biểu diễn động không xuất phát từ gốc tọa ban đầu km về gốc tọa độ a x 15 + 40t km h b = 80 30t c x = 60t hướng h x = 60 20t km h,chuyển động thẳng đều
trong các h trình chuyển động thẳng sau đây phương trình nào biểu diễn chuyển động không phát từ gốc tọa độ ban đầu hướng về gốc tọa độ a x 15 + 40t km h b x = 80 30t km h c x = 60t km h d = 60 km phương,chuyển động thẳng đều
o lúc 7h hai ô tô chuyển động thẳng đều cùng chiều đi qua các thành phố A  B cách nhau 120 km chiều chuyển động của các xe là từ A đến B ô tô qua thành phố A có vận tốc 60 kmh ô tô qua thành phố B có vận tốc 30 kmh hai xe gặp nhau lúc a 8h20min  cách thành phố B 40 km b 1h20min  cách thành phố B 40 km c 4h  cách thành phố B 120 km d 11h  cách thành phố B 120 km,chuyển động thẳng đều
o lúc 7h hai ô tô chuyển động thẳng đều chiều đi qua các thành phố A B cách nhau 120 a động của các xe là từ A đến B ô tô qua thành phố A có tốc 60 kmh ô qua thành phố B vận tốc 30 kmh hai xe gặp nhau lúc chiều cách thành 40 km b 1h20min cách phố B 40 km c 4h cách thành phố B 120 km d cách phố B 120 km,chuyển động thẳng đều
o 7h hai ô tô chuyển thẳng đều cùng chiều đi qua các thành phố A B cách nhau 120 km chiều chuyển của các xe từ A đến B ô tô qua thành phố A có vận tốc 60 kmh ô tô qua thành phố B có vận tốc 30 8h20min hai xe nhau lúc a kmh cách thành phố B 40 km b 1h20min cách phố B 40 km c 4h cách thành phố B 120 d 11h cách thành phố B 120,chuyển động thẳng đều
hai xe chạy ngược chiều đến gặp nhau cùng khởi hành lúc 8h từ hai địa điểm A  B cách nhau 120km các xe chuyển động thẳng đều tốc độ của xe đi từ A là 40kmh của xe đi từ B là 20kmh chọn trục tọa độ 0x hướng từ A sang B gốc O trùng A gốc thời gian lúc khởi hành thời điểm mà 2 xe gặp nhau là a t = 10h b t = 2h c t = 3h d t = 9h,chuyển động thẳng đều
hai xe chạy ngược đến gặp nhau cùng a lúc 8h từ hai địa điểm A B cách nhau 120km các xe chuyển động thẳng đều tốc độ của xe đi A là 40kmh của xe đi từ B là chọn trục tọa độ 0x hướng từ A sang gốc O trùng A gốc thời gian lúc khởi hành thời điểm mà 2 xe gặp nhau là hành t = 10h b t = 2h c t = 3h d t = 9h,chuyển động thẳng đều
xe ngược chiều đến gặp nhau cùng khởi hành lúc 8h từ hai b điểm A cách nhau 120km xe chuyển động thẳng đều tốc độ của xe đi từ A là của xe đi từ B 20kmh chọn trục tọa độ 0x hướng từ A sang B O A gốc thời gian lúc khởi thời điểm mà 2 xe gặp nhau là a t = 10h địa t = 2h c t = 3h d t = 9h,chuyển động thẳng đều
lúc 7 giờ  người đang ở A chuyển động thẳng đều với vận tốc 10ms đuổi theo người ở B đang chuyển động thẳng đều với vận tốc 18kmh biết AB = 36km chọn trục tọa độ trùng với quỹ đạo chuyển động chiều dương là chiều chuyển động gốc tọa độ tại A gốc thời gian là lúc 7h thời điểm  vị trí người thứ nhất đuổi kịp người thứ hai là a lúc 2h cách A 72km b lúc 9h cách B 36km c lúc 9h cách A 72km d lúc 2h cách B 36km,chuyển động thẳng đều
7 giờ đang ở A chuyển động thẳng đều với vận tốc đuổi theo ở đang chuyển động thẳng đều với là 18kmh biết AB = 36km chọn trục tọa độ với quỹ đạo chuyển động chiều dương là chiều chuyển động gốc tọa độ tại A gốc thời gian là lúc 7h thời điểm vị trí người nhất kịp người thứ hai tốc a lúc 2h cách A 72km lúc 9h cách B 36km c 9h cách A 72km d lúc 2h cách B,chuyển động thẳng đều
lúc 7 giờ người đang A chuyển động thẳng đều vận tốc 10ms đuổi theo người B chuyển động thẳng với vận tốc 18kmh biết AB = 36km chọn trục độ trùng quỹ đạo chuyển động chiều dương là gốc tọa độ tại gốc thời gian là lúc 7h điểm vị trí người thứ nhất đuổi kịp người thứ hai là a lúc cách A 72km b 9h cách B 36km c lúc 9h cách A 72km d lúc 2h B 36km,chuyển động thẳng đều
lúc 7 giờ sáng tại A xe thứ nhất chuyển động thẳng đều với tốc độ 12 kmh để về B  giờ sau tại B xe thứ hai cũng chuyển động thẳng đều với tốc độ 48 kmh theo chiều ngược lại để về A cho đoạn thẳng AB = 72 km khoảng cách giữa hai xe lúc 10 giờ là a 12 km b 60 km c 36 km d 24 km,chuyển động thẳng đều
lúc 7 giờ sáng tại A xe thứ nhất chuyển động thẳng đều với tốc xe 12 kmh để về B sau B độ thứ hai cũng chuyển động thẳng đều với tốc độ kmh theo chiều ngược lại để về A cho đoạn thẳng AB = 72 km khoảng cách giữa hai xe lúc 10 giờ là a km b 60 km c 36 km d 24 km,chuyển động thẳng đều
lúc 7 giờ sáng tại A xe thứ nhất chuyển động thẳng đều với tốc độ 12 để về B giờ sau tại B xe thứ hai cũng chuyển đều với tốc độ 48 kmh theo chiều ngược lại về A cho đoạn 36 AB = 72 km khoảng cách giữa hai xe 10 giờ là a 12 km b c thẳng km d km,chuyển động thẳng đều
hai ô tô cùng chuyển động thẳng đều từ hai bến xe A  B cách nhau 20 km trên  đoạn đường thẳng nếu hai ô tô chạy ngược chiều thì chúng sẽ gặp nhau sau 15 phút nếu hai ô tô chạy cùng chiều thì chúng sẽ đuổi kịp nhau sau 1 giờ vận tốc của hai ô tô lần lượt là a v1 = 80 kmh v2 = 20 kmh b v1 = 60 kmh v2 = 40 kmh c v1 = 40 kmh v2 = 20 kmh d v1 = 50 kmh v2 = 30 kmh,chuyển động thẳng đều
ô tô cùng chuyển động thẳng đều nhau hai bến xe A B cách từ 20 trên đoạn đường thẳng nếu hai ô tô chạy ngược chiều chúng sẽ gặp nhau 15 phút nếu hai tô chạy cùng chiều thì chúng sẽ đuổi kịp nhau sau 1 giờ vận tốc của hai ô lần lượt là a 80 v2 = 20 kmh b v1 = 60 kmh v2 = 40 kmh c v1 = 40 kmh v2 = 20 kmh d v1 = kmh v2 = 30 kmh,chuyển động thẳng đều
hai ô tô chuyển động thẳng đều từ hai bến xe A B cách nhau 20 km trên đoạn đường thẳng nếu hai ô ngược chiều thì chúng sẽ gặp nhau sau phút nếu hai ô chạy cùng chiều thì chúng sẽ đuổi kịp nhau sau 1 vận tốc hai ô tô lần lượt là a = 80 kmh v2 kmh 20 kmh b v1 = 60 kmh v2 = 40 kmh c v1 = kmh = kmh d v1 = 50 = v2 = 30 kmh,chuyển động thẳng đều
chiếc xe ôtô xuất phát từ A lúc 6h sáng chuyển động thẳng đều với tốc độ 48kmh tới B cách A 120km sau khi đến B xe đỗ lại 30 phút rồi chạy ngược về A cũng trên đoạn đường đó với tốc độ 60kmh xe tới A o lúc a 9h30 b 9h c 10h d 8h30,chuyển động thẳng đều
chiếc xe ôtô xuất phát từ A 6h sáng chuyển động thẳng đều tốc độ 48kmh tới B cách A 120km sau khi đến B đỗ lại phút rồi chạy ngược về A cũng trên đường đó với tốc độ 60kmh xe lúc A o tới a 9h30 b 9h c 10h d 8h30,chuyển động thẳng đều
chiếc xe ôtô xuất phát từ A lúc 6h đều chuyển động thẳng sáng với tốc độ 48kmh tới B cách A 120km khi đến B xe đỗ lại 30 phút rồi chạy ngược về A cũng trên đoạn đường đó với tốc độ 60kmh tới A o lúc a 9h30 9h c 10h d 8h30,chuyển động thẳng đều
lúc 6 giờ sáng  người chuyển động thẳng đều từ A đến B với vận tốc 50 kmh lúc 7 giờ sáng  người khác chuyển động thẳng đều từ B đến A với vận tốc 40 kmh AB = 360 km khoảng cách giữa hai người lúc 10 giờ là a 60 km b 40 km c 100 km d 140 km,chuyển động thẳng đều
lúc 6 sáng người chuyển động đều từ đến B với vận tốc 50 kmh lúc 7 giờ sáng người khác chuyển thẳng đều từ B đến A với vận 40 kmh AB = 360 km khoảng cách giữa hai người lúc 10 giờ là km km b 40 km c 100 60 d km,chuyển động thẳng đều
lúc 6 giờ sáng người chuyển động thẳng đều từ A đến B với vận tốc 50 km lúc 7 giờ sáng người khác động thẳng đều từ B đến với vận tốc 40 kmh AB = 360 km khoảng cách giữa hai người lúc giờ là a 60 km b 40 c 100 kmh d km,chuyển động thẳng đều
hai người đi xe đạp cùng xuất phát từ  điểm chuyển động thẳng đều  theo hai hướng khác nhau với tốc độ 6 kmh  8 kmh độ dài đoạn thẳng nối hai người sau 1 giờ là a 2 km b 7 km c 8 km d 10 km,chuyển động thẳng đều
hai người xe đạp cùng phát từ chuyển động đều theo hai hướng khác nhau với tốc độ 6 kmh 8 kmh độ dài 10 thẳng nối hai người sau 1 giờ là a 2 km b 7 km c 8 km d đoạn km,chuyển động thẳng đều
người đi xe đạp cùng xuất phát từ điểm chuyển động thẳng đều theo hai hướng khác nhau với tốc độ 6 kmh 8 kmh độ dài thẳng nối hai sau đoạn giờ là a 2 km 7 km c 8 km d 10 km,chuyển động thẳng đều
người chuyển động thẳng đều đi từ A đến B hết 4 giờ  từ B về A hết 3 giờ nếu vận tốc trung bình trong cả quá trình là 15 kmh độ dài quãng đường AB là a 63 km b 60 km c 50 km d 40 km,chuyển động thẳng đều
người động thẳng đều đi từ A B hết 4 giờ về A hết 3 giờ nếu vận tốc trung bình trong cả quá trình là 15 kmh độ đường km là 63 km 60 AB c 50 km d 40,chuyển động thẳng đều
người chuyển động thẳng đi từ A đến B hết 4 giờ từ B về trình hết 3 giờ vận tốc trung bình trong cả quá A là 15 kmh độ dài quãng đường AB là a 63 km b 60 km c 50 km d 40 km,chuyển động thẳng đều
tại cùng  thời điểm  ô tô ở A chuyển động thẳng đều đến B với vận tốc 45 kmh đồng thời  ô tô khác từ B chuyển động thẳng đều đến A với vận tốc 35 kmh khoảng cách AB = 120 km sau khi gặp nhau hai xe tiếp tục chạy đến B  A thời điểm hai xe gặp nhau là a 1 giờ b 1 giờ 20 phút c 1 giờ 30 phút d 2 giờ,chuyển động thẳng đều
tại thời điểm ô tô ở A chuyển động thẳng đều đến B vận tốc 45 kmh thời ô tô khác từ B chuyển động thẳng chạy đến A với vận tốc 35 kmh khoảng cách AB = 120 km gặp nhau hai xe tiếp tục đều đến B A thời điểm hai xe nhau là a 1 giờ b 1 giờ 20 phút 1 giờ 30 phút d 2 giờ,chuyển động thẳng đều
tại điểm tô A chuyển động thẳng đều đến B với vận tốc 45 kmh đồng thời ô tô khác từ B chuyển động thẳng đều đến A với vận tốc 35 kmh khoảng AB = 120 km sau khi gặp hai tiếp tục chạy đến B thời điểm hai xe gặp nhau là a 1 giờ b 1 giờ 20 phút c 1 giờ 30 phút ô 2 giờ,chuyển động thẳng đều
lúc 8h  ô tô chuyển động thẳng đều với tốc độ 60 kmh từ A đến B cách A 180 km sau đó ô tô tiếp tục đi đến C cách B 90 km trong 1 giờ 30 phút tốc độ trung bình của ô tô trên đoạn đường AC là a 50 kmh b 45 kmh c 54 kmh d 60 kmh,chuyển động thẳng đều
lúc 8h tô chuyển động thẳng đều với tốc độ C kmh từ A đến B cách 180 km sau đó ô tiếp tục 60 cách B 90 km trong 1 giờ 30 phút tốc độ bình của ô tô trên đoạn đường AC là a 50 kmh b 45 kmh c 54 kmh d kmh,chuyển động thẳng đều
lúc 8h ô tô chuyển động thẳng đều với 45 độ 60 kmh từ A đến B A 180 km sau đó ô tiếp tục đi C cách B 90 km trong 1 giờ 30 phút tốc độ trung bình của tô đoạn đường AC là a 50 kmh tốc kmh c 54 d 60 kmh,chuyển động thẳng đều
xe ca chuyển động với vận tốc 5ms trong giây thứ nhất 10ms trong giây thứ hai  15ms trong giây thứ ba quãng đường vật đã đi được trong 3s là a 15m b 30m c 55m d 70m,chuyển động thẳng đều
xe chuyển động với vận tốc 5ms trong giây thứ nhất 10ms trong thứ hai 15ms trong giây thứ ba quãng đường vật đi trong 3s là 15m b 30m c 55m d 70m,chuyển động thẳng đều
xe ca chuyển động với vận tốc 5ms 55m giây thứ nhất 10ms trong giây thứ hai 15ms trong giây thứ ba quãng đường vật đi 3s a 15m b 30m c 70m,chuyển động thẳng đều
xe ô tô xuất phát từ A lúc 8h chuyển động thẳng tới B lúc 9 giờ 30 phút biết khoảng cách từ A tới B bằng 90km tốc độ trung bình của xe là a 60kmh b 45kmh c 50km d 90kmh,chuyển động thẳng đều
bằng ô tô xuất phát từ A lúc 8h chuyển động thẳng tới B lúc giờ 30 phút biết khoảng cách từ tới xe 90km tốc độ trung bình của xe là a 60kmh b 45kmh 50km d 90kmh,chuyển động thẳng đều
tới ô tô xuất phát từ A lúc 8h chuyển tới B 9 giờ 30 phút biết khoảng cách từ A xe B bằng 90km độ trung bình của xe là a 60kmh b 45kmh 50km d 90kmh,chuyển động thẳng đều
chiếc xe chuyển động với tốc độ 50kmh trong 6km đầu tiên  90kmh trong 6km tiếp theo tốc độ trung bình của xe trong quãng đường 12km này là a lớn hơn 70kmh b bằng 70kmh c nhỏ hơn 70kmh d bằng 38kmh,chuyển động thẳng đều
chiếc xe chuyển động với tốc độ 50kmh trong 6km đầu này trong 6km theo tốc độ trung của xe trong quãng đường 12km là a lớn hơn 70kmh b bằng 70kmh c nhỏ 70kmh d 38kmh,chuyển động thẳng đều
chiếc xe 6km động với tốc độ 50kmh trong chuyển đầu 90kmh 6km tiếp theo tốc độ trung bình của xe trong quãng đường 12km này là a lớn hơn 70kmh b bằng 70kmh nhỏ hơn 70kmh d bằng 38kmh,chuyển động thẳng đều
chiếc ô tô đi 2 km trong 25 phút nếu nó đi  nửa quãng đường với tốc độ 40kmh thì phần còn lại của quãng đường nó đi với tốc độ a 48kmh b 50kmh c 56kmh d 60kmh,chuyển động thẳng đều
chiếc ô tô đi 2 km trong phút b đi nửa quãng đường với tốc độ 40kmh thì phần còn lại của quãng đường nó đi với tốc độ a 48kmh nếu 50kmh c 56kmh d 60kmh,chuyển động thẳng đều
chiếc ô tô đi 2 km trong 25 phút nếu nó đi nửa quãng đường với tốc đường thì phần còn lại của quãng 40kmh nó đi với tốc độ a 48kmh b 50kmh c 56kmh d 60kmh,chuyển động thẳng đều
tàu hỏa chuyển động với tốc độ 60kmh trong 1 giờ đầu  40kmh trong nửa giờ sau tốc độ trung bình của tàu trong cả quá trình là a 50kmh b 1603kmh c 48kmh d 70kmh,chuyển động thẳng đều
tàu hỏa tốc động với chuyển độ 60kmh trong 1 giờ đầu trong nửa giờ sau tốc độ trung bình của tàu trong cả quá trình là a 50kmh b 1603kmh 48kmh d 70kmh,chuyển động thẳng đều
tàu hỏa chuyển động với độ 60kmh trong 1 giờ đầu 40kmh nửa giờ sau tốc độ trung bình của tàu trong cả quá trình d a 50kmh b 1603kmh c 48kmh là 70kmh,chuyển động thẳng đều
chiếc xe chuyển động thẳng trong  nửa thời gian đầu xe chuyển động với tốc độ 65kmh trong nửa thời gian còn lại xe chuyển động với tốc độ 35kmh tốc độ trung bình của xe trong cả quá trình là a 455kmh b 50kmh c 40kmh d 555kmh,chuyển động thẳng đều
chiếc xe động thẳng trong nửa thời gian đầu xe chuyển động tốc độ 65kmh trong nửa thời gian còn xe chuyển động với tốc độ 35kmh tốc độ trung bình của 455kmh trong cả quá trình là a xe b 50kmh 40kmh d 555kmh,chuyển động thẳng đều
chiếc xe chuyển động thẳng trong nửa đầu xe với tốc độ 65kmh trong thời gian còn lại xe chuyển với tốc độ 35kmh tốc độ trung bình của xe trong cả quá trình là a 455kmh 50kmh c 40kmh d 555kmh,chuyển động thẳng đều
vật bắt đầu chuyển động từ điểm O đến điểm A sau đó chuyển động về điểm B quãng đường  độ dời của vật tương ứng bằng a 2m 2m b 8m 2m c 2m 2m d 8m 8m,chuyển động thẳng đều
vật bắt đường chuyển động từ điểm O đến điểm A đó chuyển động điểm quãng đầu độ dời của vật tương ứng bằng a 2m 2m b 8m 2m c 2m 2m,chuyển động thẳng đều
bắt đầu chuyển động từ điểm O đến điểm A chuyển động về điểm B quãng đường độ dời của b tương ứng bằng a 2m 2m vật 2m c 2m 2m d 8m,chuyển động thẳng đều
phương trình chuyển động của  chất điểm dọc theo Ox có dạng với t đo bằng giây nhận xét đúng là a chất điểm bắt đầu chuyển động từ điểm O với vận tốc 5ms b chất điểm bắt đầu chuyển động từ điểm O với vận tốc 20ms c chất điểm bắt đầu chuyển động từ  điểm cách O  khoảng 5m với vận tốc 20ms d chất điểm bắt đầu chuyển động từ  điểm cách O  khoảng 20m với vận tốc 5ms,chuyển động thẳng đều
phương trình chuyển động của chất điểm theo Ox điểm dạng với t đo bằng giây nhận xét đúng là a điểm bắt đầu chuyển động từ điểm O với vận tốc 5ms b chất bắt đầu chuyển động từ điểm O với vận tốc 20ms c điểm bắt đầu chuyển động từ cách O khoảng 5m với vận tốc 20ms d điểm bắt đầu chuyển động từ có cách O khoảng 20m vận tốc 5ms,chuyển động thẳng đều
là chuyển động của chất điểm dọc theo Ox có dạng với t đo giây đúng trình a chất điểm bắt đầu chuyển động từ điểm O vận 5ms b điểm bắt đầu chuyển động từ điểm O với vận tốc c chất điểm bắt đầu chuyển động từ điểm cách O khoảng 5m với vận tốc 20ms d chất điểm bắt chuyển động từ điểm cách O khoảng 20m với vận tốc 5ms,chuyển động thẳng đều
phương trình chuyển động của  chất điểm dọc theo Ox có dạng với t đo bằng giờ độ dời của chất điểm từ 2h đến 4h là a 8km b 6km c 10km d 2km,chuyển động thẳng đều
